/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

Epoch 1/6
[Epoch 2 | Batch 910/1337] Loss: 0.126913
[Epoch 2 | Batch 920/1337] Loss: 0.105715
[Epoch 2 | Batch 930/1337] Loss: 0.142768
[Epoch 2 | Batch 940/1337] Loss: 0.161392
[Epoch 2 | Batch 950/1337] Loss: 0.125964
[Epoch 2 | Batch 960/1337] Loss: 0.130119
[Epoch 2 | Batch 970/1337] Loss: 0.137361
[Epoch 2 | Batch 980/1337] Loss: 0.128211
[Epoch 2 | Batch 990/1337] Loss: 0.158125
[Epoch 2 | Batch 1000/1337] Loss: 0.130345
[Epoch 2 | Batch 1010/1337] Loss: 0.130085
[Epoch 2 | Batch 1020/1337] Loss: 0.152642
[Epoch 2 | Batch 1030/1337] Loss: 0.093332
[Epoch 2 | Batch 1040/1337] Loss: 0.162553
[Epoch 2 | Batch 1050/1337] Loss: 0.175299
[Epoch 2 | Batch 1060/1337] Loss: 0.096080
[Epoch 2 | Batch 1070/1337] Loss: 0.121487
[Epoch 2 | Batch 1080/1337] Loss: 0.116449
[Epoch 2 | Batch 1090/1337] Loss: 0.126283
[Epoch 2 | Batch 1100/1337] Loss: 0.202181
[Epoch 2 | Batch 1110/1337] Loss: 0.230467
[Epoch 2 | Batch 1120/1337] Loss: 0.135769
[Epoch 2 | Batch 1130/1337] Loss: 0.107782
[Epoch 2 | Batch 1140/1337] Loss: 0.137641
[Epoch 2 | Batch 1150/1337] Loss: 0.182391
[Epoch 2 | Batch 1160/1337] Loss: 0.103985
[Epoch 2 | Batch 1170/1337] Loss: 0.131280
[Epoch 2 | Batch 1180/1337] Loss: 0.123973
[Epoch 2 | Batch 1190/1337] Loss: 0.157697
[Epoch 2 | Batch 1200/1337] Loss: 0.097936
[Epoch 2 | Batch 1210/1337] Loss: 0.132921
[Epoch 2 | Batch 1220/1337] Loss: 0.120699
[Epoch 2 | Batch 1230/1337] Loss: 0.134740
[Epoch 2 | Batch 1240/1337] Loss: 0.111543
[Epoch 2 | Batch 1250/1337] Loss: 0.111691
[Epoch 2 | Batch 1260/1337] Loss: 0.139240
[Epoch 2 | Batch 1270/1337] Loss: 0.137788
[Epoch 2 | Batch 1280/1337] Loss: 0.157034
[Epoch 2 | Batch 1290/1337] Loss: 0.231644
[Epoch 2 | Batch 1300/1337] Loss: 0.113771
[Epoch 2 | Batch 1310/1337] Loss: 0.177677
[Epoch 2 | Batch 1320/1337] Loss: 0.098503
[Epoch 2 | Batch 1330/1337] Loss: 0.114635
Train Loss: 0.159959 | Val Loss: 0.200424
✓ Best model saved

Epoch 3/6
[Epoch 3 | Batch 10/1337] Loss: 0.131557
[Epoch 3 | Batch 20/1337] Loss: 0.179306
[Epoch 3 | Batch 30/1337] Loss: 0.131588
[Epoch 3 | Batch 40/1337] Loss: 0.139842
[Epoch 3 | Batch 50/1337] Loss: 0.095625
[Epoch 3 | Batch 60/1337] Loss: 0.108119
[Epoch 3 | Batch 70/1337] Loss: 0.127917
[Epoch 3 | Batch 80/1337] Loss: 0.233451
[Epoch 3 | Batch 90/1337] Loss: 0.186361
[Epoch 3 | Batch 100/1337] Loss: 0.145441
[Epoch 3 | Batch 110/1337] Loss: 0.185633
[Epoch 3 | Batch 120/1337] Loss: 0.128122
[Epoch 3 | Batch 130/1337] Loss: 0.133267
[Epoch 3 | Batch 140/1337] Loss: 0.113117
[Epoch 3 | Batch 150/1337] Loss: 0.126180
[Epoch 3 | Batch 160/1337] Loss: 0.125327
[Epoch 3 | Batch 170/1337] Loss: 0.180558
[Epoch 3 | Batch 180/1337] Loss: 0.162920
[Epoch 3 | Batch 190/1337] Loss: 0.166256
[Epoch 3 | Batch 200/1337] Loss: 0.180727
[Epoch 3 | Batch 210/1337] Loss: 0.081810
[Epoch 3 | Batch 220/1337] Loss: 0.118724
[Epoch 3 | Batch 230/1337] Loss: 0.098802
[Epoch 3 | Batch 240/1337] Loss: 0.085890
[Epoch 3 | Batch 250/1337] Loss: 0.129783
[Epoch 3 | Batch 260/1337] Loss: 0.087459
[Epoch 3 | Batch 270/1337] Loss: 0.148895
[Epoch 3 | Batch 280/1337] Loss: 0.124608
[Epoch 3 | Batch 290/1337] Loss: 0.105494
[Epoch 3 | Batch 300/1337] Loss: 0.113122
[Epoch 3 | Batch 310/1337] Loss: 0.217913
[Epoch 3 | Batch 320/1337] Loss: 0.090367
[Epoch 3 | Batch 330/1337] Loss: 0.161523
[Epoch 3 | Batch 340/1337] Loss: 0.186336
[Epoch 3 | Batch 350/1337] Loss: 0.121535
[Epoch 3 | Batch 360/1337] Loss: 0.089412
[Epoch 3 | Batch 370/1337] Loss: 0.126693
[Epoch 3 | Batch 380/1337] Loss: 0.072599
[Epoch 3 | Batch 390/1337] Loss: 0.103381
[Epoch 3 | Batch 400/1337] Loss: 0.107909
[Epoch 3 | Batch 410/1337] Loss: 0.067641
[Epoch 3 | Batch 420/1337] Loss: 0.104179
[Epoch 3 | Batch 430/1337] Loss: 0.101462
[Epoch 3 | Batch 440/1337] Loss: 0.106577
[Epoch 3 | Batch 450/1337] Loss: 0.105302
[Epoch 3 | Batch 460/1337] Loss: 0.158090
[Epoch 3 | Batch 470/1337] Loss: 0.147687
[Epoch 3 | Batch 480/1337] Loss: 0.151316
[Epoch 3 | Batch 490/1337] Loss: 0.163815
[Epoch 3 | Batch 500/1337] Loss: 0.216186
[Epoch 3 | Batch 510/1337] Loss: 0.129352
[Epoch 3 | Batch 520/1337] Loss: 0.134410
[Epoch 3 | Batch 530/1337] Loss: 0.095401
[Epoch 3 | Batch 540/1337] Loss: 0.101504
[Epoch 3 | Batch 550/1337] Loss: 0.130072
[Epoch 3 | Batch 560/1337] Loss: 0.115291
[Epoch 3 | Batch 570/1337] Loss: 0.082515
[Epoch 3 | Batch 580/1337] Loss: 0.082598
[Epoch 3 | Batch 590/1337] Loss: 0.105874
[Epoch 3 | Batch 600/1337] Loss: 0.078515
[Epoch 3 | Batch 610/1337] Loss: 0.105391
[Epoch 3 | Batch 620/1337] Loss: 0.154190
[Epoch 3 | Batch 630/1337] Loss: 0.136958
[Epoch 3 | Batch 640/1337] Loss: 0.101008
[Epoch 3 | Batch 650/1337] Loss: 0.096934
[Epoch 3 | Batch 660/1337] Loss: 0.101071
[Epoch 3 | Batch 670/1337] Loss: 0.080818
[Epoch 3 | Batch 680/1337] Loss: 0.091986
[Epoch 3 | Batch 690/1337] Loss: 0.099410
[Epoch 3 | Batch 700/1337] Loss: 0.085262
[Epoch 3 | Batch 710/1337] Loss: 0.083692
[Epoch 3 | Batch 720/1337] Loss: 0.107756
[Epoch 3 | Batch 730/1337] Loss: 0.136287
[Epoch 3 | Batch 740/1337] Loss: 0.118290
[Epoch 3 | Batch 750/1337] Loss: 0.069995
[Epoch 3 | Batch 760/1337] Loss: 0.095445
[Epoch 3 | Batch 770/1337] Loss: 0.100906
[Epoch 3 | Batch 780/1337] Loss: 0.117994
[Epoch 3 | Batch 790/1337] Loss: 0.101106
[Epoch 3 | Batch 800/1337] Loss: 0.107006
[Epoch 3 | Batch 810/1337] Loss: 0.086364
[Epoch 3 | Batch 820/1337] Loss: 0.080937
[Epoch 3 | Batch 830/1337] Loss: 0.120204
[Epoch 3 | Batch 840/1337] Loss: 0.107427
[Epoch 3 | Batch 850/1337] Loss: 0.068026
[Epoch 3 | Batch 860/1337] Loss: 0.121123
[Epoch 3 | Batch 870/1337] Loss: 0.083227
[Epoch 3 | Batch 880/1337] Loss: 0.100645
[Epoch 3 | Batch 890/1337] Loss: 0.118738
[Epoch 3 | Batch 900/1337] Loss: 0.093892
[Epoch 3 | Batch 910/1337] Loss: 0.128735
[Epoch 3 | Batch 920/1337] Loss: 0.117052
[Epoch 3 | Batch 930/1337] Loss: 0.116933
[Epoch 3 | Batch 940/1337] Loss: 0.085301
[Epoch 3 | Batch 950/1337] Loss: 0.088583
[Epoch 3 | Batch 960/1337] Loss: 0.129434
[Epoch 3 | Batch 970/1337] Loss: 0.135858
[Epoch 3 | Batch 980/1337] Loss: 0.073064
[Epoch 3 | Batch 990/1337] Loss: 0.064558
[Epoch 3 | Batch 1000/1337] Loss: 0.104089
[Epoch 3 | Batch 1010/1337] Loss: 0.135532
[Epoch 3 | Batch 1020/1337] Loss: 0.136912
[Epoch 3 | Batch 1030/1337] Loss: 0.057093
[Epoch 3 | Batch 1040/1337] Loss: 0.080624
[Epoch 3 | Batch 1050/1337] Loss: 0.097216
[Epoch 3 | Batch 1060/1337] Loss: 0.098522
[Epoch 3 | Batch 1070/1337] Loss: 0.077429
[Epoch 3 | Batch 1080/1337] Loss: 0.109295
[Epoch 3 | Batch 1090/1337] Loss: 0.106350
[Epoch 3 | Batch 1100/1337] Loss: 0.084336
